"Designator","Quantity","Value","Package","LCSC Part Number","Description","Notes"
"C1","1","2.2µF","0603","C2858007","Capacitor 2.2uF 6.3V X5R","Standard MLCC"
"C2","1","1.0µF","0402","C15684","Capacitor 1uF 6.3V X5R","Standard MLCC"
"C3,C4,C5","3","10µF","0603","C1935881","Capacitor 10uF 6.3V X5R","Standard MLCC"
"IC1","1","nPM1100","QFN-24(4x4)","C49022620","Nordic Semicon NPM1100-QDAB-R"," "
"L1","1","2.2uH","SMD,4x4mm","C3151182","Coilcraft XAL4020-222MEC","Standard SMD"
"LD1","1","Red LED","0603","C2986060","LED Red 0603","Indicator"
"LD2","1","Green LED","0603","C22371298","LED Green 0603","Indicator"
"Q1","1","DMC2400UV","SOT563","C177025","Dual N-Channel MOSFET",""
"R1","1","1M5","0201","C5447242","Resistor 1.5MΩ ±1%",""
"R2","1","220k","0201","C6596471","Resistor 220kΩ ±1%",""
"R3,R4","2","1M","0201","C6994149","Resistor 1MΩ ±1%",""
"R5","1","100k","0201","C6307372","Resistor 100kΩ ±1%",""
"R6,R7","2","10k","0201","C6994147","Resistor 10kΩ ±1%",""
"R_ICHG1","1","1k5","0603","C7389729","Resistor 1.5kΩ ±1%","For charge current setting"
"SW1","1","C&K KMR223GLFG","KMR2","C221678","Tactile Switch KMR2","SMD push button"
